"Term","Course_ID","Offer_Nbr","Class_Nbr","Section","Enrl_Stat","Class_Stat","Assoc","Session","Auto_Enrol","Auto_Enr_2","Class_Type","Cap_Enrl","Tot_Enrl","Comb_Sects_ID","Combined_Sect_Cap_Enrl","Combined_Sect_Tot_Enrl"
"3720","100305","1","22374","WR02","Open","Active","10","1","","","Non-Enrol","25","10","","",""
"3720","108147","1","22059","SG04","Open","Tentative","10","1","","","Non-Enrol","30","0","","",""
"3710","013249","1","10119","PR04","Open","Active","10","FY1","","","Non-Enrol","10","9","","",""
"3720","107271","1","23965","WR01","Open","Active","10","1","","","Non-Enrol","10","3","","",""
"3720","105875","1","22776","TU06","Open","Active","10","1","","","Non-Enrol","20","11","","",""
"3710","101894","1","12475","LA08","Closed","Active","10","1","","","Non-Enrol","12","12","","",""
"3744","108846","1","42009","TU01","Open","Active","10","1","","","Non-Enrol","10","1","","",""
"3710","106010","1","10392","TU04","Open","Active","10","FY1","","","Non-Enrol","10","4","","",""
"3710","006107","1","12654","TU01","Open","Active","10","1","","","Non-Enrol","10","3","","",""
"3710","104408","1","13394","WR08","Open","Active","10","1","","","Non-Enrol","32","30","","",""
"3720","105111","1","23986","TU07","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","002909","1","12140","TU02","Open","Active","10","1","","","Non-Enrol","29","27","","",""
"3720","008880","1","28640","PR06","Open","Active","10","1","","","Non-Enrol","5","4","","",""
"3710","105551","1","10226","LE01","Open","Active","10","1","","","Non-Enrol","20","16","","",""
"3710","106816","1","10820","SE02","Open","Active","10","1","","","Non-Enrol","30","26","","",""
"3720","104398","1","22479","LA12","Closed","Active","10","1","","","Non-Enrol","12","12","","",""
"3710","006001","1","11003","TU05","Open","Active","10","1","","","Non-Enrol","30","23","","",""
"3720","108195","1","21544","TE06","Open","Active","10","1","","","Non-Enrol","10","1","","",""
"3710","106537","1","11831","WR03","Open","Active","10","1","","","Non-Enrol","5","4","","",""
"3710","107066","1","12226","TU02","Open","Active","10","1","","","Non-Enrol","25","23","","",""
"3720","009786","2","22989","LA08","Closed","Active","10","1","","","Non-Enrol","38","38","","",""
"3720","003643","1","23311","WR03","Open","Active","10","1","","","Non-Enrol","15","13","","",""
"3710","106031","1","14125","TU09","Open","Active","10","1","","","Non-Enrol","20","2","","",""
"3720","006878","3","23669","PR04","Open","Active","10","1","","","Non-Enrol","20","18","","",""
"3710","104415","1","14591","PR01","Open","Active","10","1","","","Non-Enrol","12","11","","",""
"3710","104412","1","12865","PR01","Open","Active","10","1","","","Non-Enrol","20","12","","",""
"3710","104415","1","14569","PR23","Open","Active","10","1","","","Non-Enrol","12","2","","",""
"3710","105508","1","19023","LEC0","Open","Active","10","1","","","Non-Enrol","22","21","","",""
"3710","102485","1","10557","WR03","Open","Active","10","1","","","Non-Enrol","25","24","","",""
"3710","101895","1","13732","PR14","Open","Active","10","1","","","Non-Enrol","24","16","","",""
"3715","107056","1","95270","WR03","Closed","Tentative","10","1","","","Non-Enrol","30","0","","",""
"3720","106375","1","23645","LA01","Open","Active","10","1","","","Non-Enrol","42","41","","",""
"3710","104271","1","13188","TU04","Open","Active","10","1","","","Non-Enrol","2","0","","",""
"3720","108764","1","21333","TU01","Open","Active","10","1","","","Non-Enrol","10","7","","",""
"3720","108195","1","21542","TE04","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3720","106479","1","23396","PR01","Open","Active","10","1","","","Non-Enrol","35","21","","",""
"3720","005704","1","21132","TU09","Open","Active","10","1","","","Non-Enrol","28","27","","",""
"3720","105523","1","21377","PR01","Open","Active","10","1","","","Non-Enrol","47","46","","",""
"3710","103726","1","12915","TU11","Open","Active","10","1","","","Non-Enrol","23","20","","",""
"3710","108151","1","12270","SG09","Open","Active","10","1","","","Non-Enrol","30","29","","",""
"3710","103891","1","14778","PR02","Closed","Tentative","10","1","","","Non-Enrol","2","0","","",""
"3720","104320","1","21280","PR04","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3744","105735","1","42276","TU01","Open","Active","10","1","","","Non-Enrol","5","1","","",""
"3720","106260","1","25267","TU01","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3720","104845","1","21251","TU05","Open","Active","10","1","","","Non-Enrol","100","86","","",""
"3710","108247","1","10041","WR04","Open","Active","10","1","","","Non-Enrol","5","2","","",""
"3710","106184","1","18713","LE07","Open","Active","16","FY1","","","Non-Enrol","90","79","","",""
"3720","008146","1","23541","TU06","Closed","Active","10","FY2","","","Non-Enrol","12","12","","",""
"3720","104829","1","22952","TU04","Open","Active","10","1","","","Non-Enrol","18","8","","",""
"3720","003241","1","20018","RE07","Closed","Active","10","FY2","","","Non-Enrol","14","14","","",""
"3720","106187","1","23386","CL01","Open","Active","10","FY2","","","Non-Enrol","15","9","","",""
"3720","007832","1","23659","TU01","Open","Active","10","1","","","Non-Enrol","20","0","","",""
"3710","106546","1","18429","SE03","Open","Active","10","FY1","","","Non-Enrol","27","20","","",""
"3720","108072","1","22187","TU01","Closed","Active","10","1","","","Non-Enrol","15","15","","",""
"3710","104408","1","13313","PR01","Open","Active","10","1","","","Non-Enrol","24","22","","",""
"3710","019786","1","13097","LA15","Open","Active","10","1","","","Non-Enrol","42","41","","",""
"3720","108650","1","23661","PR01","Open","Active","10","1","","","Non-Enrol","50","49","","",""
"3710","104286","1","11470","TU11","Closed","Active","10","1","","","Non-Enrol","16","16","","",""
"3720","107509","1","28726","PJT0","Open","Active","10","FY2","","","Non-Enrol","30","26","","",""
"3720","007312","1","23566","PR01","Open","Active","10","1","","","Non-Enrol","48","47","","",""
"3720","109015","1","24525","WR04","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3710","019786","1","13087","LA05","Open","Active","10","1","","","Non-Enrol","42","35","","",""
"3710","104537","1","10907","TU01","Open","Active","10","1","","","Non-Enrol","12","11","","",""
"3710","106571","1","18548","WR02","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3710","107808","1","12537","SG01","Open","Active","10","1","","","Non-Enrol","31","24","","",""
"3720","108491","1","23962","LE01","Open","Active","10","1","","","Non-Enrol","80","64","","",""
"3720","104520","1","21022","WR01","Open","Active","10","1","","","Non-Enrol","12","1","","",""
"3710","107189","1","10953","TU05","Open","Active","10","1","","","Non-Enrol","25","14","","",""
"3710","019786","1","13093","LA11","Open","Active","10","1","","","Non-Enrol","42","30","","",""
"3710","105564","1","13839","TU07","Closed","Active","10","FY1","CL01","","Non-Enrol","6","6","","",""
"3710","102244","1","14156","WR03","Open","Active","10","1","","","Non-Enrol","18","16","","",""
"3720","102244","1","23228","WR04","Closed","Active","10","1","","","Non-Enrol","18","18","","",""
"3720","103363","1","24717","CE01","Open","Active","10","1","","","Non-Enrol","24","7","","",""
"3705","103578","1","92067","TU03","Closed","Tentative","10","LAS","","","Non-Enrol","15","0","","",""
"3710","017183","1","14647","TU20","Open","Tentative","10","1","","","Non-Enrol","15","0","","",""
"3710","104379","1","11145","PR02","Closed","Active","10","1","","","Non-Enrol","30","30","","",""
"3710","105068","1","14139","TU11","Open","Active","10","1","","","Non-Enrol","20","14","","",""
"3720","108955","1","20632","WR02","Closed","Stop Enrl","10","1","","","Non-Enrol","25","14","","",""
"3720","101887","1","24457","LA08","Open","Active","10","1","","","Non-Enrol","20","15","","",""
"3744","105791","1","42178","TU01","Open","Active","10","1","","","Non-Enrol","5","0","","",""
"3710","013637","1","15031","TU15","Open","Active","10","1","","","Non-Enrol","21","18","","",""
"3705","106370","1","92413","SE02","Open","Active","10","LAS","","","Non-Enrol","15","14","","",""
"3720","103969","1","22941","TU01","Open","Active","10","1","","","Non-Enrol","45","43","","",""
"3710","105701","1","13001","SG06","Open","Active","15","1","","","Non-Enrol","25","17","","",""
"3720","105012","1","25070","SG02","Closed","Tentative","10","1","","","Non-Enrol","15","0","","",""
"3720","104341","1","24731","PR01","Open","Active","10","1","","","Non-Enrol","50","49","","",""
"3742","108856","1","40258","TU01","Open","Active","10","1","","","Non-Enrol","5","0","","",""
"3720","102351","1","22620","TU11","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3720","107044","1","25342","SG03","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3715","106371","1","95069","SE06","Open","Active","10","1","","","Non-Enrol","18","10","","",""
"3720","104526","1","21010","SE01","Open","Active","10","1","","","Non-Enrol","15","12","","",""
"3720","109128","1","28411","TU05","Closed","Active","10","1","","","Non-Enrol","23","23","","",""
"3710","104319","1","11951","TU04","Open","Active","10","1","","","Non-Enrol","30","26","","",""
"3720","105008","1","24871","CO01","Open","Active","10","1","","","Non-Enrol","40","24","","",""
"3720","105877","1","28451","TU20","Closed","Stop Enrl","30","1","","","Non-Enrol","24","0","","",""
"3720","105433","1","21050","TU04","Closed","Active","10","1","","","Non-Enrol","22","22","","",""
"3720","107052","1","22157","TU02","Open","Tentative","10","1","","","Non-Enrol","18","0","","",""
"3720","102232","1","23059","LA10","Open","Active","10","1","","","Non-Enrol","31","30","","",""
"3710","104407","1","11689","WR02","Open","Active","10","1","","","Non-Enrol","2","1","","",""
"3710","016878","2","10489","PR02","Closed","Active","10","1","","","Non-Enrol","3","3","","",""
"3710","013637","1","15019","TU03","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","101894","1","10573","LE01","Open","Active","10","1","","","Non-Enrol","150","115","","",""
"3710","108270","1","13230","TU01","Open","Active","10","1","","","Non-Enrol","30","24","","",""
"3710","102238","1","11464","TU05","Closed","Active","10","1","","","Non-Enrol","30","30","","",""
"3744","108881","1","42252","TU01","Open","Active","10","1","","","Non-Enrol","8","5","","",""
"3720","108234","1","25120","WR09","Open","Active","10","1","","","Non-Enrol","20","7","","",""
"3710","104976","1","10788","TU03","Open","Active","10","1","","","Non-Enrol","24","23","","",""
"3710","108146","1","12296","WR01","Closed","Active","10","1","","","Non-Enrol","25","25","","",""
"3710","102485","1","10558","WR02","Open","Active","10","1","","","Non-Enrol","25","15","","",""
"3710","108277","1","14695","PR01","Open","Active","10","1","","","Non-Enrol","76","73","","",""
"3720","108969","1","22049","TU01","Closed","Active","10","1","","","Non-Enrol","30","30","","",""
"3710","108835","1","14737","TU07","Open","Active","10","1","","","Non-Enrol","7","4","","",""
"3710","104408","1","10483","PR04","Open","Active","10","1","","","Non-Enrol","24","16","","",""
"3720","104399","1","22899","PR04","Closed","Active","10","1","","","Non-Enrol","70","70","","",""
"3710","104314","1","11777","TU03","Open","Tentative","10","1","","","Non-Enrol","3","0","","",""
"3720","107735","1","28729","LE01","Open","Active","10","1","","","Non-Enrol","30","11","","",""
"3720","006878","1","24642","PR03","Open","Active","10","1","","","Non-Enrol","70","40","","",""
"3720","108114","1","21060","TU05","Open","Active","10","1","","","Non-Enrol","30","27","","",""
"3710","108749","1","11141","PL01","Open","Active","10","FY1","","","Non-Enrol","45","22","","",""
"3710","106218","1","14565","TU01","Open","Active","10","1","","","Non-Enrol","40","18","","",""
"3720","105877","1","28454","TU17","Closed","Stop Enrl","27","1","","","Non-Enrol","24","0","","",""
"3720","101887","1","24466","PR06","Closed","Active","10","1","","","Non-Enrol","40","40","","",""
"3710","104852","1","10034","TU01","Closed","Active","10","1","","","Non-Enrol","30","30","","",""
"3710","104557","1","11020","TU06","Open","Active","10","1","","","Non-Enrol","17","15","","",""
"3710","101925","1","13655","PR02","Open","Active","10","1","","","Non-Enrol","6","2","","",""
"3710","108917","1","19100","TU02","Open","Active","10","1","","","Non-Enrol","45","1","","",""
"3710","105114","1","14098","TU08","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","107155","1","12030","SG03","Open","Active","10","1","","","Non-Enrol","43","39","","",""
"3710","106345","1","12935","SE04","Open","Active","10","1","","","Non-Enrol","30","27","","",""
"3720","102351","1","22260","TU02","Closed","Tentative","10","1","","","Non-Enrol","20","0","","",""
"3710","101399","1","11429","PR01","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3720","105570","1","23689","TU01","Closed","Active","10","FY2","CL01","","Non-Enrol","6","6","","",""
"3720","108238","1","25187","WR03","Open","Active","10","1","","","Non-Enrol","20","0","","",""
"3720","008078","1","25301","PR11","Open","Active","10","FY2","","","Non-Enrol","10","8","","",""
"3710","013249","1","10123","PR08","Closed","Active","10","FY1","","","Non-Enrol","10","10","","",""
"3710","009101","1","11710","LE01","Open","Active","10","1","","","Non-Enrol","378","340","","",""
"3710","013637","1","15036","TU20","Open","Active","10","1","","","Non-Enrol","21","17","","",""
"3720","105116","1","24056","TU08","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3720","008078","1","25302","PR10","Closed","Active","10","FY2","","","Non-Enrol","10","10","","",""
"3710","108712","1","14352","TU05","Open","Active","10","1","","","Non-Enrol","24","23","","",""
"3710","003808","1","10798","TU19","Open","Active","10","1","","","Non-Enrol","23","18","","",""
"3720","102662","1","23027","PR01","Open","Active","10","1","","","Non-Enrol","39","15","","",""
"3710","102232","1","13194","LA05","Open","Active","10","1","","","Non-Enrol","23","10","","",""
"3710","108368","1","13867","LE01","Open","Active","9999","1","","","Non-Enrol","30","8","","",""
"3733","108633","1","30214","WR01","Open","Active","10","1","","","Non-Enrol","4","2","","",""
"3720","103964","1","22235","PR04","Open","Active","10","1","","","Non-Enrol","60","27","","",""
"3720","105066","1","24006","SG01","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3720","104291","1","22874","TU07","Closed","Active","10","1","","","Non-Enrol","0","0","","",""
"3720","103344","1","24617","WR01","Open","Active","10","1","","","Non-Enrol","10","3","","",""
"3720","007312","1","23299","WR05","Closed","Active","10","1","","","Non-Enrol","48","48","","",""
"3710","104415","1","14606","WR03","Open","Active","10","1","","","Non-Enrol","16","15","","",""
"3710","105021","1","12415","TU01","Open","Active","10","1","","","Non-Enrol","50","31","","",""
"3720","103972","1","24961","PR11","Open","Active","10","1","","","Non-Enrol","15","12","","",""
"3720","104929","1","22807","TU10","Open","Active","10","1","","","Non-Enrol","25","20","","",""
"3710","106028","1","14108","TU05","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","108834","1","15285","TU03","Open","Active","10","1","","","Non-Enrol","24","19","","",""
"3715","107155","1","95271","SG02","Closed","Tentative","10","1","","","Non-Enrol","40","0","","",""
"3710","013643","1","13481","WR13","Open","Active","10","1","","","Non-Enrol","21","15","","",""
"3710","017312","1","14826","PR01","Closed","Tentative","10","1","","","Non-Enrol","72","0","","",""
"3710","104817","1","12990","TU01","Open","Active","10","1","","","Non-Enrol","20","18","","",""
"3710","106184","1","13659","TU02","Open","Active","11","FY1","","","Non-Enrol","18","14","","",""
"3720","104332","1","21311","PR03","Open","Active","10","1","","","Non-Enrol","50","44","","",""
"3710","109009","1","11248","SG09","Open","Active","10","1","","","Non-Enrol","18","15","","",""
"3710","101879","1","11803","PR03","Open","Active","10","1","","","Non-Enrol","10","6","","",""
"3720","107075","1","22176","TU04","Closed","Tentative","10","1","","","Non-Enrol","18","0","","",""
"3710","104406","1","11659","PR07","Open","Active","10","1","","","Non-Enrol","5","2","","",""
"3720","001962","1","20983","WR03","Closed","Active","12","1","","","Non-Enrol","17","17","","",""
"3720","107667","1","23875","WR03","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3720","006859","1","20667","LA06","Closed","Active","10","1","","","Non-Enrol","28","28","","",""
"3710","104319","1","11942","TU01","Open","Tentative","10","1","","","Non-Enrol","30","0","","",""
"3720","109038","1","21393","SG13","Closed","Tentative","10","1","","","Non-Enrol","0","0","","",""
"3720","101976","1","22954","LA02","Open","Active","10","1","","","Non-Enrol","35","30","","",""
"3720","009615","1","23306","WR04","Open","Active","10","1","","","Non-Enrol","20","9","","",""
"3710","104988","1","11753","PR01","Open","Active","10","1","","","Non-Enrol","60","57","","",""
"3710","104777","1","12174","TU01","Open","Active","10","1","","","Non-Enrol","28","22","","",""
"3720","012136","1","23504","PR01","Open","Active","10","1","","","Non-Enrol","57","32","","",""
"3710","107084","1","12244","SG03","Open","Active","10","1","","","Non-Enrol","45","41","","",""
"3710","103998","1","11175","PR01","Open","Active","10","1","","","Non-Enrol","60","47","","",""
"3720","106685","1","24536","TU02","Open","Active","10","1","","","Non-Enrol","20","17","","",""
"3710","104984","1","10913","SE01","Open","Active","10","1","","","Non-Enrol","17","15","","",""
"3710","109165","1","19001","TU01","Open","Active","10","1","","","Non-Enrol","65","55","","",""
"3720","102280","1","24628","PR02","Open","Active","10","1","","","Non-Enrol","75","58","","",""
"3720","104838","1","20833","TU02","Closed","Active","10","1","","","Non-Enrol","23","23","","",""
"3710","013637","1","15033","TU17","Open","Active","10","1","","","Non-Enrol","21","19","","",""
"3720","103972","1","24954","PR04","Open","Active","10","1","","","Non-Enrol","7","6","","",""
"3710","017183","1","14657","TU30","Closed","ToBeCancel","10","1","","","Non-Enrol","15","0","","",""
"3710","013637","1","15020","TU04","Open","Active","10","1","","","Non-Enrol","22","20","","",""
"3720","105019","1","23353","LA05","Closed","Stop Enrl","10","1","","","Non-Enrol","9","0","","",""
"3720","105056","1","28294","LEC0","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3710","104720","1","10781","TU02","Open","Active","10","1","","","Non-Enrol","25","23","","",""
"3710","104720","1","10779","TU04","Open","Active","10","1","","","Non-Enrol","29","21","","",""
"3720","106384","1","23338","SG04","Closed","Active","10","1","","","Non-Enrol","24","24","","",""
"3710","104835","1","13956","TU02","Closed","Active","10","1","","","Non-Enrol","1","1","","",""
"3710","101978","1","13926","PR01","Open","Active","10","1","","","Non-Enrol","40","38","","",""
"3720","105524","1","23360","TU01","Open","Active","10","1","","","Non-Enrol","130","102","","",""
"3710","104271","1","13187","TU01","Open","Active","10","1","","","Non-Enrol","1","0","","",""
"3720","106384","1","23337","SG03","Closed","Active","10","1","","","Non-Enrol","24","24","","",""
"3720","109149","1","28697","TU01","Open","Active","10","1","","","Non-Enrol","25","14","","",""
"3720","005543","1","23076","LA02","Closed","Active","10","1","","","Non-Enrol","11","11","","",""
"3720","107269","1","20216","WR04","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3720","108189","1","21524","TE04","Open","Active","10","1","","","Non-Enrol","20","2","","",""
"3720","102920","1","20624","TU02","Open","Active","10","1","","","Non-Enrol","12","10","","",""
"3720","102287","1","20065","PR02","Closed","Active","10","1","","","Non-Enrol","60","60","","",""
"3710","108187","1","14749","TE02","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3710","017312","1","14829","PR04","Open","Active","10","1","","","Non-Enrol","69","65","","",""
"3720","107044","1","25292","TU05","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3710","102281","1","11536","PR08","Open","Active","10","1","","","Non-Enrol","27","24","","",""
"3720","102130","1","22556","TU24","Closed","Active","10","1","","","Non-Enrol","18","18","","",""
"3710","101975","1","11415","LA04","Open","Active","10","1","","","Non-Enrol","30","21","","",""
"3710","103090","1","14883","TU01","Open","Active","10","1","","","Non-Enrol","50","28","","",""
"3710","101410","1","11836","TU01","Open","Active","10","1","","","Non-Enrol","55","46","","",""
"3710","108045","1","15143","WR01","Open","Active","10","1","","","Non-Enrol","53","49","","",""
"3720","108281","1","28738","TU01","Open","Active","10","1","","","Non-Enrol","20","9","","",""
"3710","108672","1","14302","TU07","Closed","Active","10","1","","","Non-Enrol","27","27","","",""
"3720","105112","1","24045","TU10","Open","Active","10","1","","","Non-Enrol","20","13","","",""
"3720","103363","1","24719","TU01","Open","Active","10","1","","","Non-Enrol","24","7","","",""
"3720","005543","3","23087","LA03","Open","Active","10","1","","","Non-Enrol","5","0","","",""
"3715","104902","1","95097","TU01","Open","Active","10","1","","","Non-Enrol","20","12","","",""
"3710","104404","2","11583","PR01","Open","Active","10","1","","","Non-Enrol","4","2","","",""
"3720","103132","1","24670","PR01","Closed","Active","10","1","","","Non-Enrol","9","9","","",""
"3720","107665","1","23870","WR06","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3720","106356","1","20927","TU06","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3720","002126","1","22067","SE04","Closed","Active","10","1","","","Non-Enrol","36","36","","",""
"3710","101894","1","12478","LA05","Open","Active","10","1","","","Non-Enrol","12","2","","",""
"3710","104686","1","15138","WR02","Open","Active","10","1","","","Non-Enrol","51","46","","",""
"3710","108670","1","14281","WR03","Open","Active","10","1","","","Non-Enrol","35","34","","",""
"3710","106335","1","12212","TU02","Open","Active","10","1","","","Non-Enrol","25","23","","",""
"3720","105070","1","24079","TU06","Open","Active","10","1","","","Non-Enrol","20","19","","",""
"3720","019786","1","20463","LA09","Closed","Active","10","1","","","Non-Enrol","50","50","","",""
"3710","104101","1","12909","TU02","Open","Active","10","1","","","Non-Enrol","60","31","","",""
"3710","108232","1","12769","SE01","Open","Active","10","1","","","Non-Enrol","20","13","","",""
"3710","108146","1","12293","WR04","Open","Active","10","1","","","Non-Enrol","25","23","","",""
"3710","100225","1","11068","TU12","Closed","Active","10","1","","","Non-Enrol","23","23","","",""
"3710","102281","1","13271","PR07","Open","Active","10","1","","","Non-Enrol","65","64","","",""
"3720","008880","1","24932","PR10","Open","Active","10","1","","","Non-Enrol","5","2","","",""
"3720","105865","1","22105","TU02","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","106537","1","11830","WR02","Open","Active","10","1","","","Non-Enrol","50","46","","",""
"3710","107048","1","15408","PB02","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3720","104442","1","22398","LA06","Open","Active","10","1","","","Non-Enrol","6","5","","",""
